비속어|카테고리|text
비욕설|섹슈얼|남자라면 자고로 음기를 섞어줘야 심신이 건강한 법이다. 메갈이나 일베 이런애들이 양기 음기를 못 취하니깐 속이 뒤틀려서 괴물이 탄생하듯 자고로 건강한 남자라면 음기로 육봉을 적셔줘야한다. 그러나 봇이에 맛들리면 파멸의 문으로 가는 것이니.. 균형을 잘 갖춰야한다.
비욕설|일반|소율이한테 많은걸 보고 배웠구ㅎ
욕설|혐오|좆같은걸좆같다말도못함?
비욕설|일반|한번도 500원짜리가 너무 많았던 적이 없습니다 선생님....
비욕설|혐오|불가능함 ㅋㅋ건비싸니까 외국제조업체들이 잠깐 들리는거지지들잘나간다고 착각하는거고관광? ㅋㅋ 그걸로는 한계 전세계 정액받이들러리밖에안됨한국도좆도없는데 그러니 박정희가 뛰어난거다좆도아닌국가에서 산업국가로 뛰어넘은게그게 50년 당시 더 잘살던 베트남 필핀 태국 과의 클라스의차이지
비욕설|섹슈얼|여친이랑 하는데 처음에는 딴딴하다가 갑자기 도루묵되어 강직도가 풀어져 버려서 이후에 안서서 실패. ㅜㅜ 그다음날 그 시도할때는 토끼가 되버림.ㅜㅜ 이게 발기부전인지 조루인지 판단이 안됩니다.ㅜㅜ 약을 먹어야 좋을지 조루에 스프레이를 뿌려서 하느게 좋을지 ㅜㅜ 고민됩니다.
비욕설|일반|카리스마는 진짜 세계탑인듯
비욕설|혐오|일본 싫어하면서 일본AV는 ㅈㄴ 좋아하지? 역시 미개한 한국남자들
비욕설|혐오|조작돌은 이제 백수생활로 고우
비욕설|혐오|이 드라마의 문제점은 러브라인이 있으면 비난받을 여지가 있고 러브라인이 없으면 한녀들의 관심받기 힘들다는 거
비욕설|일반|에스더 자신감 무ㅋㅋ 나라면 얼어붙을 자리인데 자진해서 노래부르는 장면보고 감탄ㅋㅋ 에스더가 문단열딸인지 첨알았네 할리 아들도 수줍어하는데 잘생겼넼
비욕설|일반|발표할때 자꾸 떨려
욕설|혐오|전화로 휴가 연장했다는 개색이들은 민주당의원 샊기들이겠지
비욕설|일반|답하기 싫은가봐
비욕설|섹슈얼|옛어른들께서 이런명언을 남기셨지.. 음식이랑 여자는 나눠 먹어야한다 라고~~
비욕설|섹슈얼|아는 사람한테 시알 달라해서 한알 먹었는데.. 죽이더라.. 와이프랑 모텔가서..둘이 씻고.. 간만에 콘돔끼고..후장 함 뚫고 푸싱푸싱하는데 슬 시들시간이 됐는데도 빡빡하더라 1차전하고. 30분뒤에 2차전까지 되더라. 난 절대 하루에 2번 안 됐거덩 하물며 싸고 난 직후에도 발기가 됐기더라. 약이 좋긴 좋아. 발기에 좋다고 쭉 아르기닌 먹었는데 비교가 안댐.
비욕설|혐오|아베가 왜 아픈데...전에 괜찮다고하면서 카메라앞에서 쳐드셔서 아픈거야..이 ㅉㅂㅇ들아!!!!!
비욕설|일반|권태기 .
비욕설|일반|열심히 사네.. 본 받아야 겠다... 그리고 이정도로 갈라치기 당하지 않으니 딴 데 가서 알아봐라. 이상.
비욕설|일반|저 머리카락 한올한올. 스웨터 털 한올한올.
욕설|혐오|화사 노브라는 걸크러쉬라며 개ㄴ아
비욕설|일반|헐 넘 이쁘네... 성인되면 장난아닐듯
비욕설|혐오|비호감인데,,,,나대니까 병에걸리지아무튼 관리잘하시길
욕설|혐오|1500만원 무식한 새끼
욕설|섹슈얼|다벗고 자지 발딱 세우고 서로 쳐 만져 주는 드레스코드인지 나발인지가 개좆같다고 이 씹게이 허벌 똥꼬충 새꺄 ㅗㅗ
비욕설|일반|이혼안하고 주말부부해도 될텐데
비욕설|일반|와 소름돋네 공감순 1,2위 댓글이 다친사람 걱정이 아니라 물어뜯을것부터 찾는것봐;; 웬디 큰 후유증 없이 건강하게 낫길ㅠ
비욕설|섹슈얼|부랄사정?
비욕설|일반|이 누나 데려가신 남편분, 부럽습니다~~ ㅠ_ㅠ 누나 행복하세요~
비욕설|일반|아유 이뻐라
비욕설|일반|끝까지 가봐야 앎.....피해자(라고 주장하시는 분) 입장에선 기분 나쁘시겠지만 막판가서 뒤집어진 사례가 근래 꽤 있었어서 모르겠음
욕설|혐오|홍고나왔냐 씹새야?
욕설|혐오|개같은 좌파 새끼들
욕설|혐오|시발 넌 4번죽어라
비욕설|혐오|이와중 타짜는 일본감 ㅋㅋ신빠진 ㄴ
비욕설|섹슈얼|헤이유 라는 어플에서 여자가 ㅈㅈ진 좀 보자고 하는데 단순히 궁굼해서 그러는 걸까요? 아니면 무슨 꿍꿍이가 있는 걸까요? 제 ㅈㅈ 좀 큰 편이라고 하니까 궁금해서 그러는 것 같기도 한데 보통 여자들이 이렇게 적극적인가? 아 지금 보낼까 말까 고민 중 임
비욕설|섹슈얼|나이가 젊은가벼~ 나이들면 1주일에 1딸도 힘들다
비욕설|혐오|오늘안으로 목메달아 자to살하시길 유가족에 대한 사과의 뜻으로 ✔
비욕설|일반|이기적인 마음
비욕설|일반|위병 난 거 같아
비욕설|일반|민상아 처낟 잘보내고 와
비욕설|일반|바나나가 좋아
비욕설|섹슈얼|여자친구 잘 설득 후 합의하에(임신도 염두에 두고) 저번주부터 할때마다 질내사정하는데 이게 확실히 기분이 좋네요 뭐랄까 고무 없이 싸는것도 좋지만 임신시킬거란 생각으로 하니까 최고!로 기분이 좋네요
비욕설|일반|우리 동맹국 잠비아는 의료파견 안해도됩니꽈?
비욕설|일반|이세창 화이팅!!!.....
비욕설|일반|강아지 털갈이 시기 고무장갑으로 털제거 하는방법
비욕설|섹슈얼|조루 힘내 잘골라서 안채하게 먹고다녀 성욕많은여자만나는거도 복이ㅋㅋ
욕설|혐오|이게 맞는거지. 애도 안낳고 군대도 안가고 젖가튼 조센징
비욕설|일반|지겹다 지겨워. 고마해라 마.
비욕설|일반|불면증
비욕설|일반|썸남 졸업하는데 가도 되나?
비욕설|일반|이렇게 예쁜 분을, 입술 화장이 이상해 보이네요ㅠㅡㅠ여하튼^^ 건강하시고 행복하세요!
비욕설|일반|매일 점심마다 올라간다. 숨이 차도 기분이 좋다 이번에는 연휴라서 3일동안은 못가는구나 오늘은 수영가고 내일은 등산간다. 그냥 그렇다고...
욕설|혐오|어쩌라구 병신 찌질아;;;
비욕설|혐오|지아 송종국이랑 붕어빵 처럼 닮아 인물 좋네 예쁜거 보니 연예인 해도 되긋네 지 못 생긴 어미 안 닮기 다행이다‼️‼️
비욕설|일반|프로필사진 바꿔야겠어요 ㅋ 대단하시네요
비욕설|섹슈얼|남자 자지가 작거나 얇으니깐 느낌이 없어서 그렇게 행동한다고 함
비욕설|일반|사람들 너무 무섭다.ㅠㅠ 해킹에 대한 잘못을 먼저 따지고 들어야하는데...뭐가 잘못돼도 한참 잘못됐지...
비욕설|일반|우와! 무섭다! 우와! 실제로 한 번 뵙고싶네요! 우와! 정말 무섭네요!ㅋㅋ가리를 어떻게 찢으실건가요!? 낚시 바늘을 양쪽에 걸어서 HITTING이라도 하실건가요!? 아니면 커터칼로 천천히!? 너무 기대돼요!
비욕설|일반|자낳괴 그자체다...물론 프로정신이겠지만.
비욕설|일반|알츠하이머 환자는 가족이 돌보는데 한계가 있어요. 전문요양병원에서 돌보시고 가족은 병문안가시는게 좋은데. 잘 하시리라 믿어요. 그리고
비욕설|일반|아직모르는사실을두고 퇴출이란 너무심하네양쪽말은안들어보고 이렇게 한사람또매장
비욕설|일반|8년 사귀고 해어진지 1년.
비욕설|일반|어느세 내나이가 이렇게 되었나 싶다 3년 사귄여자친구와는 싸우기를 반복 얼마전에는 헤어지고 다시 만나는데 그닥 좋은 기분은 들지않는다 왜냐하면 또 싸웠기 때문이다
비욕설|일반|우리 아이유가 운전만 할수 있었어도...ㅠㅠ...윤아도 팬이긴 하다만...완벽한 어리버리가 될수 없을듯....
비욕설|섹슈얼|아무때나 입으로 해준다에 순종녀지 여자 아무리 예뻐도 안대주는 년은 걍 거름
비욕설|혐오|아니지 그냥 똥꼬충을 혐오 하는것 뿐이지
비욕설|혐오|솔까 까는건 좌좀이 제맛이지깔게 노무 많거든
비욕설|일반|진짜 자랑스럽습니다 우리 선수들!!!!!!!!! (광광)
비욕설|일반|우리 할머니 틀니 맞춰드리려하는데 어디가 좋아?
비욕설|일반|역시 교과서적인 훈훈한마무리는 몰입도를 떨어뜨리는군 !
비욕설|혐오|18키로감량을해야박수쳐주지 그냥 먹고싶은거다먹고디비져자고하면 18키로는그냥쪄
비욕설|혐오|눈 졸라 모였네 난 박신혜 스타일이 좋음 신동엽같이 모인눈 극혐 갈데가 없어 짱개랑
비욕설|혐오|욕을 안할래야 안할수가 없네...지 라 ㄹ 들 좀 작작해라
비욕설|혐오|이미 알고 있어서 ㅁㅈㅎ려고 했는데1렙이라 ㅁㅈㅎ 못줘서 속으로 애미 욕함
비욕설|일반|추카추카 친구3인방 안부도 궁굼하네요~~ 정말 재밌게 봤는데
비욕설|섹슈얼|니얼굴에 니몸매에 보지달린걸 상상해봐 우욱씹
비욕설|일반|그래도 희망을 가지고 살아야하겠지. 하루 하루 살다보면 좋은날이 오긴하겠지. 새해 다짐이라도 세워볼까
비욕설|일반|하루만의 연애로 서로 감정이 절절한 설정은좀 이해가 안가지만 연기력은 좋았슴작가 감독의 연출력이 좀더 좋아졌슴 좋겠다서강준 이솜 연기력은 짱!!
욕설|혐오|명치 브이넥 실화냐ㅋㅋㅋ 개토쏠리네씌5발
비욕설|일반|시즌제 ~~~~~가즈아
비욕설|일반|표정이 거북이 들고 있는 원주민 같아ㅋㅋㅋ 순간에도 연기한거같아 지짜ㅋㅋㅋ
비욕설|일반|남자친구랑 재밋게 봣어요 마지막에 너무 징그러워서 혼낫다는
비욕설|혐오|그 새끼 호모 게이임
욕설|혐오|모든 시골이 그런것도 아니고 그 좆같은 시골에 모든 사람이 그런건 아니지만 거기서 장사하는 시골 사람들은 대부분 진짜 개 씨발년놈들임 아주 좆같은 마인드로 응 여기 아님 가게없어 이마인드인지 배짱이 존나 두둑하다
비욕설|혐오|ㅋㅋ 부모 욕 먹으니 바로 꿈틀대쥬? 거지 논하는데 자칭 미래가 없는 너가 사는 집은 꽤 잘 사나봐? 얼마나 잘 사는지 인증 ㄱㄱ 못 하면 지옥에 있는 자식새끼들 가정교육 잘 못 시킨 뒤진 니 증조할아버지부터 시작해서 싸그리 모가지 잘라버린다?ㅋㅋ 서비스로 애미는 변기통에 머리 쳐넣고 밟아서 목 꺾어 죽여드림
욕설|혐오|아니 시 버 ㄹ 남자가 능력되면 여자도 후리고 하는거지 여자도 좋다고 즐겼으니까 신고 안한거아님?
비욕설|혐오|중국인들 제발좀 나오지 않았으면 좋겠다 진짜 혐중이 괜히 지금 심한게 아니다 착쨩죽쨩이라는 말이 왜 나왔을까??
욕설|혐오|재수좆나게업는 허접하고,쓰잘데없이 메스컴나와 발공떠는여, 재수업서서 이싸ㅇㅇ오면 채널돌려요. 이영자돼지같ㅇ고, 재수없어
비욕설|혐오|기부천사 싸이처럼 기부나 하고 살아라 개돼지들아불우이웃하나 돕지못하는 벌레같은 인생들이 누굴 욕하는지
비욕설|혐오|처음 내말이 이석기 욕한거임 빨갱이나 선거때 그짓함
비욕설|일반|너는 안자?
비욕설|혐오|아이큐 낮은 쿵쾅이들 그림인거 같은데 ㅎㅎ 그래도 뭐 다 공개 하는게 맞지
비욕설|혐오|아마추어나 나가는 아시안게임에 프로가 가서 이긴게 무슨 큰 대수라고
비욕설|일반|여자친구가 담배를 피는게 싫어.
비욕설|일반|희철이가 트와이스 사귀는거 보고 트와이스 하나 노리나 보다 ㅋㅋ
욕설|혐오|송혜교는 탈세까지 하고도 혼자 잘걷는다 니들이나 혼자 걷다 졷망하고 옛날 수금같이 걷던 생각나서 같이 걷자고 뭉치는거지
비욕설|혐오|여자가 요즘은 벼슬이여~~지들 입맛대로 세상이 다 맞춰주기를 바라는 이기적인동물~~쓸때없는 공감대와 대책없는 현실성..고삐풀린 망아지지..뭐..
비욕설|일반|좋아하는 사람 앞에서 성격이 이중적인데 정상인가요.
욕설|혐오|고당 때 좆같이 생긴애 이름이 김종대였는데 ㅋㅋ
비욕설|혐오|이분은 인스타 올리지도 못하나 열등감도 정도껏 해야ㅉㅉ기 악플다는 사람들 다 찌질하고 불쌍해보ㅉㅉ 이쁘고 잘생기고 똑똑한 선남선녀 둘이 결혼해서 2세까지 훌륭할ㅎ러워서 그러는거니 악플 신경쓰지말고 순산하세요
욕설|섹슈얼|강간 씹질해서 낳은 느금마
비욕설|일반|털보 아빠와 아들
비욕설|일반|택배박스랑 봉지를 같이 보낼수 있나요
비욕설|일반|남사친이 많은 썸녀
비욕설|일반|산이가 또해냈다 이쯤되면 깨어있는뮤지션 인정
욕설|혐오|나도 개좆흥 옹호하는거아님 개좆밥인데 뭘 옹호해 , 다만 버기는 수비롤 감안해도 윙어포지션과 초창기 윙포였던거 생각하면 스탯 처참하다못해 개박살난거 맞다 ㅇㅇ
욕설|혐오|조카따 ㅜㅜ 두뇬 놈다 짱개로 꺼져라ㅜㅜ 저런것들은 돈쳐벌려고 별짖을 다하는것들 이라 진심 개가 웃을일 제발 짱개로커져
욕설|혐오|햐~~~ 시발 욕나오네
비욕설|일반|이영자씨 죄는 없지만..더이상 이영자씨 먹방 보는 것은 너무 힘들거 같습니다. 너무 불편합니다. 하차하시기 바랍니다.
비욕설|섹슈얼|딸쳐
비욕설|일반|담배피는게 싫어.
욕설|혐오|씨발 내가 너 좋와하면 안되냐! 내가 너 좋와하면 안되냐! 내가 너 좋와할수도 있자나 이런 씨발 세상 좃같은 것들이 왜 나한테 지랄들이야 그래 안그래!!
비욕설|일반|약초 캐볼까?
비욕설|일반|일부러 바깥보라고 구멍 뚫어놓으신 것 같아서 진짜 기절
비욕설|일반|그립다. 사람들 틈속에서 항상 빛났던 사람이. 속으로는 얼마나 울고 있었을까 생각하면 마음이 아프다 겉으론 웃지만 진짜 웃는게 아닌 마음이 무엇인지 알것 같아서
비욕설|혐오|할배가 지 분수를 알아야지 어린여자랑 기어코 결혼을 하네? ㅋㅋ 여성분 고생길 훤하노
비욕설|혐오|권력에 기생하는 포털 네이놈들 작태가가관이군 더듬어 만진당 수괴 죄인 문재앙 졸개들
비욕설|일반|공부하기 싫은 날
비욕설|일반|내가 개구멍 봐둔데 있어
비욕설|섹슈얼|발정나서 성희롱 보내는 사람들많네
비욕설|일반|연기는 몰라도 비주얼은 정말 잘어울림 예쁘고 멋졌음 세자빈이랑 무연
비욕설|섹슈얼|저녁때 전화해서 내일 만나기로 했다 얘들아. 혹시나 다른 남자랑 떡쳤다면 더 좋아. 환영이야. 어차피 여친 생기면 버릴건데 아주 편하게 버릴 수 있잖아. 나는 결혼할 여자가 필요해. ㅋㅋㅋ
비욕설|혐오|지들이 동물이니까.
비욕설|일반|잘다녀와요 화이팅
비욕설|일반|이진 이쁘고 매력있다.
비욕설|일반|짝녀한테도 철벽쳐요. 성격이 왜 그럴까요.
비욕설|일반|짝남이 생겼는데 뭐부터 해야할까.
비욕설|혐오|니들가족이 승리라고 생각해봐라,,,,,이 악플러 한남충들아
비욕설|혐오|크~~ 역시 다니엘헤니~~ 한국 남자들 1패 ~~ 비율부터 남달라,, 한남 김치놈들이랑은 다르네 역시....!
비욕설|일반|남자친구 오지랖 너무 많아
욕설|혐오|에라이 병신아. ㅋㅋ
비욕설|일반|알콩달콩 예쁜 아아커플^^
비욕설|일반|내장 비만
욕설|혐오|글쓴 놈이나 여친이나 둘다 그냥 도찐개찐같은데
비욕설|일반|윤정수씨 괜찮은분인건 알겠는데 제가 현진씨 부모님이라면 좀 속상할거 같아요 ㅜ
비욕설|섹슈얼|어제부터 딸딸이를 참고 있다. 왕창 싸는거 보고 싶다고 해서. 참기 힘들다. ㅠ
비욕설|일반|하나님에 좋은 말씀대로 행하려하고 기도하면 됩니다 목사들을 보고 교회에 다니는거 아닙니다 저들도 인간이라 돈보면 욕심나고 다 똑같은 것입니다 하나님을 교회를 욕하면 안됩니다
비욕설|일반|넘 멋져요 저 책도 사서 봤답니다^^
비욕설|혐오|하여튼 개돼지들 뭐눈에만 뭐만 보인다고;;
비욕설|섹슈얼|질외 한번하고나서 아무리 잘 짜내도 관안에 정액이 남아 있다가 다시 피스톤질 하면 그게 나오게 되는 거야..
비욕설|일반|여자가 먼저 고백하는 거 어때?
비욕설|섹슈얼|보지에 바르고 자지에 바르고 부벼 막 부벼
비욕설|일반|솔직히 노홍철, 김광규, 장미여관 보컬(이름이 생각 안남) 나올때가 훨 잼났지
비욕설|혐오|저런쓰레기를 보는것들도 쓰레기네!!!
비욕설|일반|너도 아프니?
비욕설|일반|ㅋㅋㅋ 연초부터 웃는다.
비욕설|일반|와 이 선생님 강의 내용이 귀에 쏙쏙들어오고 말씀도 너무 잘하시고 우아함과 위트까지... 완벽 그자체시네요.. 강의 두시간도 들을 수 있을것 같아요.
비욕설|일반|이커플 애정합니ㅎㅎ
비욕설|일반|잠깐 봤는데 되게 재밌더라 나혼자산다로 돌리기 아쉬울 정도였음
비욕설|일반|나는 또 좋다고 헤헤 거리고 집에왔다... 누나가 얼굴도 이쁘고 몸매도 좋은데 사랑이 없어서 고민이다...
비욕설|일반|털 깎자니까 아지트로 들어가 눈치 보는 중
욕설|혐오|존만한색기
비욕설|일반|헉 생각보다 엄청 예뻤네요??? ㅎ
비욕설|혐오|유승민은 좀 꺼져라 보수의 배신자 새끼 박근혜 대통령 덕보고 정치생활 했으면서 뒷통수를 때린 비열한 놈
욕설|혐오|왕복 3시간 진짜 좆같다 부모 잘못 만나서 내가 뭔 고생이냐 시발
비욕설|혐오|둘다 극혐~~~ 바람~~~~~~~~바람~~~바람~~~~
비욕설|일반|카톡 상메에 아직도 누구 좋아한다는 티 내는 법 좀.
비욕설|일반|축하해요~연기도 예능도 잘보고 있습니다.결혼생활도 알콩달콩하게~^^
비욕설|일반|정신차리라고 한 마디 해줘
비욕설|일반|오늘 왜이리 쓸데 없는 내용이 많아?
비욕설|일반|와 개이쁨 ㅌ
비욕설|혐오|성범죄자 난쟁이 ㅅㄲ
비욕설|일반|역시 친해서 그런가 티키타카가 너무 재미있어요ㅋㅋ 한지민 배우님 개인적으로 많이 애정해서 이렇게 털털하게 대화하시는 모습도 보게되고 좋았어요. 귀여우셔ㅜㅜ
비욕설|섹슈얼|정자세 할때 여자 위치가 젖꼭지랑 맞아서 빨아주면 레알 딱 좋음
비욕설|섹슈얼|연인처럼 지내면 그게 불륜 아닐까요? 오피가서 떡 한번 쳤다고 불륜이라고 안하지만, 아내 몰래 같이 모텔 다녀오면 불륜인것처럼?
비욕설|일반|학교 가기 싫다
비욕설|일반|게으른 동료가 있어
비욕설|섹슈얼|굵기는 하지만 확대수술을 안한 자지 이건 확대수술한 자지. 현재까지 귀두를 굵게 하거나 발기했을때 길이를 늘려주는 확대술은 없어. 실험적인 수술법이 있긴 한데 일반인들에게는 아직 적용 불가이고. 현재 일반화된 확대수술은 좆대에 콜라겐 펠트를 삽입해서 굵게 만드는 거거덩. 그래서 귀두는 확대가 안되고 좆대만 굵어진다고. 따라서 확대수술을 한 자지는 좆대 굵기 대비 귀두가 작다고. 반면 확대수술을 안한 자지는 좆대와 귀두의 굵기가 같지. 두 야동을 비교해서 보면 그 차이를 확실히 알 수 있을겨.
비욕설|혐오|내가 틀니 극혐해서 틀니 놀리다가 30일 차단도 당해봤지만 넌 ㅁㅈㅎ 준다노친네 같은 컴맹 틀니 상대로 조립컴 추천하는거 아니다
비욕설|일반|사랑하지도 않는 결혼하니까 그렇지 형식적인 결혼말고 사람을 잘좀 보고 결혼하자 사람을보라고 아오 ㅋㅋㅋ 아 ㅋㅋㅋ
비욕설|일반|엄연히 따지면 승리는 돈벌자고 범죄를 묵인한거고 얘는 지가 재미로 저지른거지
비욕설|일반|준영인 영재랑 잇을때가 젤 행복해보임!
비욕설|일반|심술나
비욕설|일반|얼굴도.마음도 이쁘다.심지어 이름도 이쁘다
욕설|혐오|허언증 말기환자네 병신이 ㅋㅋ
비욕설|일반|태어나는게 내맘대로 되는것도 아니고 그냥 수긍하면서 사는거지.
비욕설|일반|세스코 부르면 벌레들 다 죽여버린다고 함
비욕설|섹슈얼|차라리 오피가시는걸 추천, 사창가는 전통시장느낌이고, 오피는 뭔가 좀더 업그레이드 된느낌? 물론 와꾸도 다름
비욕설|섹슈얼|하도 쉬메일야동이 좋길래 내가 게이가 아닌가 싶었는데 요즘은 쉬메일 야동보다 중국야동이 더 꼴려서 중국야동만 보면서 딸친다 나는 게이가 아니였어
비욕설|일반|홍자매 재밌기만하던데 왜 안티들이 있는지 보다가 체널 돌리면되요 요즘 일반인들도 성형하는데 어제 홍진영짜장면~~완전 ㅋㅋ
비욕설|일반|이게현실이라는게 참 슬프다ㅜㅜ
비욕설|섹슈얼|자지에 리본묶어서 내밀어 보거라
비욕설|일반|실검 떳길래 우유 신제품 나왔나 했네아오이우유는 또 누구야?
비욕설|섹슈얼|젊을때 매춘부짓해서 꿀빨았으면 늘그막에는 조용히 살다가가야지 나이처먹고도 정신을 못차리고 과거를 미화하려하는데 천벌받는다
비욕설|일반|송지효도 어울리는데 홍진영은 넘사벽이지 워낙 잘 어울려서 ㅋㅋ
비욕설|혐오|유승준은 천재적인 재능이라도 있지 이넘은 뭐없잖어 대중들이 왜 봐줘야해
비욕설|일반|흡입했더니 졸려
